ros-humble-geometric-shapes	2.3.4-1jammy.20260907.223227
ros-humble-moveit	2.5.10-1jammy.20260908.102620
ros-humble-moveit-chomp-optimizer-adapter	2.5.10-1jammy.20260908.075203
ros-humble-moveit-chomp-optimizer-adapter-dbgsym	2.5.10-1jammy.20260908.075203
ros-humble-moveit-common	2.5.10-1jammy.20260902.113342
ros-humble-moveit-configs-utils	2.5.10-1jammy.20260908.003510
ros-humble-moveit-core	2.5.10-1jammy.20260908.071525
ros-humble-moveit-core-dbgsym	2.5.10-1jammy.20260908.071525
ros-humble-moveit-hybrid-planning	2.5.10-1jammy.20260908.204403
ros-humble-moveit-hybrid-planning-dbgsym	2.5.10-1jammy.20260908.204403
ros-humble-moveit-kinematics	2.5.10-1jammy.20260908.083918
ros-humble-moveit-kinematics-dbgsym	2.5.10-1jammy.20260908.083918
ros-humble-moveit-msgs	2.2.3-1jammy.20260908.070153
ros-humble-moveit-msgs-dbgsym	2.2.3-1jammy.20260908.070153
ros-humble-moveit-planners	2.5.10-1jammy.20260908.095554
ros-humble-moveit-planners-chomp	2.5.10-1jammy.20260908.075355
ros-humble-moveit-planners-chomp-dbgsym	2.5.10-1jammy.20260908.075355
ros-humble-moveit-planners-ompl	2.5.10-1jammy.20260908.084213
ros-humble-moveit-planners-ompl-dbgsym	2.5.10-1jammy.20260908.084213
ros-humble-moveit-plugins	2.5.10-1jammy.20260908.074929
ros-humble-moveit-resources	2.0.7-1jammy.20260908.002900
ros-humble-moveit-resources-fanuc-description	2.0.7-1jammy.20260304.090524
ros-humble-moveit-resources-fanuc-moveit-config	2.0.7-1jammy.20260908.002758
ros-humble-moveit-resources-panda-description	2.0.7-1jammy.20260304.090524
ros-humble-moveit-resources-panda-moveit-config	2.0.7-1jammy.20260908.002700
ros-humble-moveit-resources-pr2-description	2.0.7-1jammy.20260304.090528
ros-humble-moveit-resources-prbt-ikfast-manipulator-plugin	2.5.10-1jammy.20260908.074322
ros-humble-moveit-resources-prbt-ikfast-manipulator-plugin-dbgsym	2.5.10-1jammy.20260908.074322
ros-humble-moveit-resources-prbt-moveit-config	2.5.10-1jammy.20260908.090713
ros-humble-moveit-resources-prbt-pg70-support	2.5.10-1jammy.20260908.090842
ros-humble-moveit-resources-prbt-support	2.5.10-1jammy.20260902.113339
ros-humble-moveit-ros	2.5.10-1jammy.20260908.094934
ros-humble-moveit-ros-benchmarks	2.5.10-1jammy.20260908.085413
ros-humble-moveit-ros-benchmarks-dbgsym	2.5.10-1jammy.20260908.085413
ros-humble-moveit-ros-control-interface	2.5.10-1jammy.20260908.110312
ros-humble-moveit-ros-control-interface-dbgsym	2.5.10-1jammy.20260908.110312
ros-humble-moveit-ros-move-group	2.5.10-1jammy.20260908.090034
ros-humble-moveit-ros-move-group-dbgsym	2.5.10-1jammy.20260908.090034
ros-humble-moveit-ros-occupancy-map-monitor	2.5.10-1jammy.20260908.074943
ros-humble-moveit-ros-occupancy-map-monitor-dbgsym	2.5.10-1jammy.20260908.074943
ros-humble-moveit-ros-perception	2.5.10-1jammy.20260908.083927
ros-humble-moveit-ros-perception-dbgsym	2.5.10-1jammy.20260908.083927
ros-humble-moveit-ros-planning	2.5.10-1jammy.20260908.081349
ros-humble-moveit-ros-planning-dbgsym	2.5.10-1jammy.20260908.081349
ros-humble-moveit-ros-planning-interface	2.5.10-1jammy.20260908.090719
ros-humble-moveit-ros-planning-interface-dbgsym	2.5.10-1jammy.20260908.090719
ros-humble-moveit-ros-robot-interaction	2.5.10-1jammy.20260908.083943
ros-humble-moveit-ros-robot-interaction-dbgsym	2.5.10-1jammy.20260908.083943
ros-humble-moveit-ros-visualization	2.5.10-1jammy.20260908.093615
ros-humble-moveit-ros-visualization-dbgsym	2.5.10-1jammy.20260908.093615
ros-humble-moveit-ros-warehouse	2.5.10-1jammy.20260908.083936
